,date,tweet,hashtags
91,2020-05-04 23:13:28,"Hope is like dominos. Once one falls, the rest follow. - ""Tokyo""
So keep your hope alive amid lockdown, this too shall pass....

#throwback #nofilter
#mondaymotivation #instagrammer #instapic #instagood #instadaily…  https://www.instagram.com/p/B_xlX0ZgKhQ/?igshid=12rox0rt0186y …","['#throwback', '#nofilter', '#mondaymotivation', '#instagrammer', '#instapic', '#instagood', '#instadaily']"
92,2020-05-04 23:12:47,"Are these images of yesterday's aftar party held by our very own @MuradAliShahPPP 
If this is true, what you are expecting from your public? Will they obey the imposed lockdown with such leadership?
@BBhuttoZardari @PTISindhOffice @MediaCellPPP pic.twitter.com/SFhWfiClNL",[]
93,2020-05-04 23:12:47,"@CMOMaharashtra @PMOIndia @DGPMaharashtra lockdown se dar nahi lagta saab. Liquor shop open hone se lagta hai. Do these people deserve freedom?
Note: forwarded video as received.  pic.twitter.com/jLo1dPNK1d",[]
94,2020-05-04 23:12:00,"BJP leader talking to G-media - Hey man Congress made daily wage issue, lockdown issue, economy issue, now railway ticket issue, miserable. 
Open the liquor store from April 4 to change the issue ..... G-media ok boss ... @nareshbareth @PankajPuniaINC @ajitanjum @abhisar_sharma",[]
95,2020-05-04 23:11:47,Kya ye he lockdown  pic.twitter.com/Lle93AO7y1,[]
96,2020-05-04 23:11:19,"# Fight4Right #NarendraModi 3/4 Nothing, only sense I get from today by 17/05/20, cases will double by end of lockdown 3.0 , so do we again get continued lockdown 4.0 by the Govt. Decision 2 open liquor shop which showed no sense of social distancing surely not for well being",['#narendramodi']
97,2020-05-04 23:10:29,"@dstGujarat pl. Help,
Filled entire details in digital gujrat website for get e-pass in lockdown for inter state movement, 
There is problem in filling detail in approving authority, show no any options for selecting approving authority,
Attached screenshot.  pic.twitter.com/NEcQjvM00t",[]
98,2020-05-04 23:09:30,"@collectorpune1 My son Prakash Goswami trapped in Pune due to lockdown, he is single & his family in Lucknow, he is doing Job in Lucknow. If he is not reach shortly in Lucknow chances the loss of Job. 
I'm a senior citizen & sick helpless person. Pl. Help me. 
Mb. No. 7081777828 – at Lucknow",[]
99,2020-05-04 23:08:41,"After more than 40 days of Lockdown bjp announces subsidise for migrant workers and this came right after sonia Gandhi announces the whole expenses of this workers will be given by congress Party .
@INCIndia @aajtak @PMOIndia pic.twitter.com/8y54cNLhAm",[]
100,2020-05-04 23:07:53,When you are still in red zone after the lockdown 3.0  pic.twitter.com/vtTH04rgnB,[]
101,2020-05-04 23:07:40,Lockdown creativity 🤣🤣  https://twitter.com/TheGautamGulati/status/1257204112078200832 …,[]
102,2020-05-04 23:06:43,"#Good, why to give fees for no classy in lockdown period if students have to study online only then after lockdown also they can study directly why to send them to schools then and waste money . Children are now addict of mobile phones and they play pub jee rather then studies #D pic.twitter.com/wzI5du2Y5Q","['#good', '#d']"
103,2020-05-04 23:06:29,"✓Are you trying to postpone your loan payments or EMIs during lockdown? If yes then you may fave a threat from cyber criminals. 
#EMI_moratorium_scam https://www.financialexpress.com/money/sbi-icici-axis-or-other-banks-customer-beware-of-emi-moratorium-scam-do-this/1947348/ …",['#emi_moratorium_scam']
104,2020-05-04 23:06:08,"The country's manufacturing sector activity witnessed unprecedented contraction in April amid national lockdown restrictions & fell to 27.4 in April, from 51.8 in March. 
Desperate time desperate measures needed. Unconventional Monetary & fiscal policy needed.  https://twitter.com/IHSMarkitPMI/status/1257197647334686720 …",[]
105,2020-05-04 23:05:13,"Toh Bhai phir yeh kyun keh reh , salon mein bhid jyada hogi infection failne ke chances jyada Hain 😁
Lockdown extend Karne ka Matlab Kya hua aur when govt can afford 100-150 people gathering outside #LiquorShops in an area so remove the lockdown atleast from that area.",['#liquorshops']
106,2020-05-04 23:03:51,What's most depressing are the online 'Lockdown sales' that are now showing images of the models wearing matching masks! 😷😭 #CCPVirus ne toh 👇🏼 pic.twitter.com/La48bQlxRi,['#ccpvirus']
107,2020-05-04 23:03:32,"EFfEct Of LoCkDown
#weddingmehendi #simplemehndi #art #mendhinight #mehenditattoo #mehendiinspire #forall #weddingmehndi #inspo_ #intricatehenna #mehandilove #bridaldesigns #mehndistain #mhendi #mehandiartist #mehendidesigns #DesignThinking @NatGeoPhotos @KCreatick @Photoshop pic.twitter.com/xtw1p0eIbm – at Rainawari","['#weddingmehendi', '#simplemehndi', '#art', '#mendhinight', '#mehenditattoo', '#mehendiinspire', '#forall', '#weddingmehndi', '#inspo_', '#intricatehenna', '#mehandilove', '#bridaldesigns', '#mehndistain', '#mhendi', '#mehandiartist', '#mehendidesigns', '#designthinking']"
108,2020-05-04 23:03:17,Need help please because sea tv not provide any amount for the lockdown period @narendramodi @PMOIndia @agrapolice @SeatvOfficial @SeaNews11 @IndianCourts @112 @ajtaknews_ @COVIDNewsByMIB @PMOIndia @TwitterIndia @timesofindia @Teleperformance,[]
109,2020-05-04 23:02:16,Happy I can take these from my terrace during lockdown. Will take you for birding once the lockdown eases. 👍🏾,[]
110,2020-05-04 23:01:44,Today all those people were insulted who followed lockdown. #wineshops Now we can prodly say that we will go past America soon. Congratulations @ArvindKejriwal @narendramodi People in India deserves actually 😡,['#wineshops']
111,2020-05-04 23:01:20,That is enough for our pm to travel after lockdown. #PMCaresFunds,['#pmcaresfunds']
112,2020-05-04 23:01:01,"Sir, being an Alwarite i & Other citizen to feel Liquor Standalone Shops must be debarred from Opening bcz they are Breaching Lockdown Norms. More than State Revenue, those citizens who r foregoing their Incomes hve to bear the Brunt of this Lockdwn.",[]
113,2020-05-04 22:59:48,"Restaurant Fraternity @nrai_india successfully serves more than #50LakhMeals in 30 days of Lockdown! 
 
Humanity above All as @narendramodi @PMOIndia said!

#FeedTheNeedy #IndiaFightsCorona #CoronaWarriors pic.twitter.com/XFuM8Qgpkb – at Surfire","['#50lakhmeals', '#feedtheneedy', '#indiafightscorona', '#coronawarriors']"
114,2020-05-04 22:59:38,"@TheLallantop phley central government key traph sey lockdown thaa aab jharkhand government key traph sey GREEN ZONE DISTRICT mey lockdown Kiya gya hai,,,kaab taak hum es traha sey lockdown mey rahengey kisi key pass koi plan hai common people key liye.",[]
115,2020-05-04 22:59:18,"Dormant, yes sir your correct, but it's lockdown situation, don't have income, plz understand, not only for me, not this is testing time for people,  don't know us the situation of them is now, so plz do as possible
@KTRTRS
@Collector_KMM
@GKamalakarTRS",[]
116,2020-05-04 22:57:34,@uddhavthackeray  No need of lockdown it is not the solution lockdown is creating too much trouble for people financially we have to admit that this covid 19 is here to stay for a while so we have to accept it.,[]
